ID,gender,friend1,friend2,selfest1,selfest2,selfest3,lifesat1,lifesat2,lifesat3,friend_m,selfest_m,lifesat_m
1,1,1,1,2,2,2,3,2,2,1,2,2.333333
2,2,3,2,3,3,3,4,3,3,2.5,3,3.333333
3,1,4,4,3,3,4,4,4,4,4,3.333333,4
4,2,4,4,4,4,4,4,2,4,4,4,3.333333
5,1,3,3,4,3,4,4,4,4,3,3.666667,4
6,1,3,3,4,3,3,4,3,4,3,3.333333,3.666667
7,2,4,4,3,3,2,3,1,2,4,2.666667,2
8,1,2,2,4,3,3,3,3,3,2,3.333333,3
9,2,3,4,3,3,3,4,3,4,3.5,3,3.666667
10,1,3,3,3,3,3,4,2,3,3,3,3
11,2,3,3,3,3,3,3,2,3,3,3,2.666667
12,2,4,4,4,4,3,3,2,3,4,3.666667,2.666667
13,2,3,2,2,2,2,2,2,2,2.5,2,2
14,1,3,3,3,3,4,4,4,4,3,3.333333,4
15,1,2,2,2,3,2,3,3,4,2,2.333333,3.333333
16,2,3,3,4,3,4,3,2,3,3,3.666667,2.666667
17,1,3,3,4,4,4,4,3,4,3,4,3.666667
18,1,4,3,4,4,4,4,4,4,3.5,4,4
19,2,3,3,2,2,2,1,1,2,3,2,1.333333
20,2,3,3,3,2,2,3,2,2,3,2.333333,2.333333
21,1,4,4,4,4,4,4,3,4,4,4,3.666667
22,2,3,3,3,3,3,3,2,3,3,3,2.666667
23,2,4,4,4,4,4,3,2,4,4,4,3
24,2,4,4,4,4,4,4,4,4,4,4,4
25,1,4,4,4,3,4,4,2,4,4,3.666667,3.333333
26,2,4,4,4,4,4,4,4,4,4,4,4
27,1,3,4,3,3,3,4,3,4,3.5,3,3.666667
28,1,3,2,4,3,3,4,4,4,2.5,3.333333,4
29,1,4,4,4,4,4,4,4,4,4,4,4
30,2,3,4,3,3,2,3,2,3,3.5,2.666667,2.666667
31,1,4,4,4,4,4,4,4,4,4,4,4
32,2,2,3,2,2,2,3,2,3,2.5,2,2.666667
33,1,4,4,4,4,4,4,4,4,4,4,4
34,2,4,4,4,3,3,3,3,3,4,3.333333,3
35,1,4,4,4,4,3,3,3,3,4,3.666667,3
36,2,3,3,3,3,3,3,2,3,3,3,2.666667
37,1,3,3,4,3,3,2,2,3,3,3.333333,2.333333
38,1,3,4,3,3,3,3,3,2,3.5,3,2.666667
39,1,3,2,3,3,3,3,3,3,2.5,3,3
40,1,3,3,2,2,3,3,3,3,3,2.333333,3
41,2,3,1,3,3,3,3,2,3,2,3,2.666667
42,2,3,2,2,2,2,2,2,2,2.5,2,2
43,1,4,4,4,3,4,4,4,4,4,3.666667,4
44,2,3,3,4,3,4,4,4,4,3,3.666667,4
45,1,3,3,3,3,3,3,3,3,3,3,3
46,1,2,3,2,1,2,2,2,2,2.5,1.666667,2
47,1,3,2,2,1,2,3,2,2,2.5,1.666667,2.333333
48,1,4,4,4,3,4,4,4,4,4,3.666667,4
49,1,4,4,4,4,4,4,2,4,4,4,3.333333
50,1,2,1,3,2,3,3,2,3,1.5,2.666667,2.666667
51,2,3,2,3,3,3,3,3,3,2.5,3,3
52,1,2,2,2,2,4,3,2,3,2,2.666667,2.666667
53,2,3,3,3,3,3,3,3,3,3,3,3
54,2,4,4,3,3,3,3,3,3,4,3,3
55,1,3,3,3,3,3,4,4,4,3,3,4
56,2,2,2,2,2,3,2,1,3,2,2.333333,2
57,1,3,4,4,3,4,4,2,4,3.5,3.666667,3.333333
58,1,2,2,4,2,3,3,3,3,2,3,3
59,1,2,1,2,2,2,2,1,3,1.5,2,2
60,2,3,4,4,2,3,3,3,2,3.5,3,2.666667
61,2,3,4,3,2,4,4,3,4,3.5,3,3.666667
62,2,3,3,3,2,3,3,3,4,3,2.666667,3.333333
63,2,2,3,3,3,3,2,2,3,2.5,3,2.333333
64,2,3,3,2,2,2,3,2,2,3,2,2.333333
65,2,3,2,2,1,2,2,2,2,2.5,1.666667,2
66,1,3,3,3,3,3,3,3,3,3,3,3
67,2,3,3,2,2,3,3,2,2,3,2.333333,2.333333
68,1,2,2,2,3,2,3,2,3,2,2.333333,2.666667
69,2,3,3,3,2,3,4,2,3,3,2.666667,3
70,1,3,3,2,2,3,3,2,3,3,2.333333,2.666667
71,2,3,3,3,3,3,4,4,4,3,3,4
72,2,3,2,2,2,2,2,2,2,2.5,2,2
73,1,3,3,3,3,3,4,2,3,3,3,3
74,2,3,3,3,4,3,3,2,3,3,3.333333,2.666667
75,1,2,3,1,1,1,1,1,1,2.5,1,1
76,2,3,3,4,4,3,4,4,3,3,3.666667,3.666667
77,2,3,3,3,3,3,3,2,2,3,3,2.333333
78,2,3,3,3,2,3,2,2,2,3,2.666667,2
79,1,3,3,3,3,3,3,3,3,3,3,3
80,2,3,2,2,3,3,4,2,3,2.5,2.666667,3
81,1,3,3,2,2,3,3,2,3,3,2.333333,2.666667
82,2,3,1,4,3,4,4,2,4,2,3.666667,3.333333
83,1,4,3,3,3,3,3,2,3,3.5,3,2.666667
84,2,2,3,3,2,3,3,3,3,2.5,2.666667,3
85,2,3,3,3,3,3,4,3,4,3,3,3.666667
86,2,4,4,4,3,3,4,4,4,4,3.333333,4
87,1,3,2,4,4,3,4,2,3,2.5,3.666667,3
88,2,3,4,4,3,3,4,3,4,3.5,3.333333,3.666667
89,1,3,3,3,2,3,3,4,3,3,2.666667,3.333333
90,1,4,4,4,4,4,4,4,4,4,4,4
91,1,4,4,3,4,4,4,4,4,4,3.666667,4
92,2,4,4,4,3,3,4,4,4,4,3.333333,4
93,1,2,2,3,4,3,3,3,4,2,3.333333,3.333333
94,1,3,1,4,4,4,4,2,4,2,4,3.333333
95,1,3,3,4,4,3,3,4,4,3,3.666667,3.666667
96,2,3,3,2,3,3,3,2,3,3,2.666667,2.666667
97,2,4,3,4,3,3,3,3,4,3.5,3.333333,3.333333
98,2,3,4,3,3,3,3,2,3,3.5,3,2.666667
99,1,3,3,2,2,4,3,4,3,3,2.666667,3.333333
100,2,3,3,2,2,2,2,1,1,3,2,1.333333
101,2,3,3,3,2,2,2,2,3,3,2.333333,2.333333
102,1,3,3,3,3,3,3,3,3,3,3,3
103,2,3,4,3,4,3,3,2,3,3.5,3.333333,2.666667
104,2,4,4,3,3,3,3,2,3,4,3,2.666667
105,1,3,4,4,4,3,3,3,3,3.5,3.666667,3
106,2,4,4,3,3,3,3,2,3,4,3,2.666667
107,1,3,4,2,3,3,2,3,3,3.5,2.666667,2.666667
108,1,4,4,4,4,4,4,4,4,4,4,4
109,1,3,3,3,3,3,3,2,3,3,3,2.666667
110,2,3,3,3,3,3,3,2,3,3,3,2.666667
111,2,4,3,4,4,4,4,3,4,3.5,4,3.666667
112,2,3,4,4,3,4,4,2,3,3.5,3.666667,3
113,2,3,4,2,2,2,2,1,1,3.5,2,1.333333
114,1,2,2,2,2,2,2,1,2,2,2,1.666667
115,2,3,3,3,2,3,3,2,3,3,2.666667,2.666667
116,2,3,1,3,3,3,3,2,3,2,3,2.666667
117,2,3,3,3,2,2,3,3,3,3,2.333333,3
118,2,3,4,3,3,3,3,2,3,3.5,3,2.666667
119,2,4,3,4,4,4,4,4,4,3.5,4,4
120,2,3,3,3,2,2,3,2,3,3,2.333333,2.666667
121,2,3,3,1,2,2,3,2,2,3,1.666667,2.333333
122,2,3,3,2,2,3,3,2,3,3,2.333333,2.666667
123,2,3,3,4,3,4,3,3,3,3,3.666667,3
124,2,3,3,1,2,2,1,2,2,3,1.666667,1.666667
125,2,3,2,1,2,2,3,2,3,2.5,1.666667,2.666667
126,2,3,3,3,2,2,2,2,2,3,2.333333,2
127,2,3,3,3,3,3,3,3,3,3,3,3
128,2,4,3,3,4,4,4,3,4,3.5,3.666667,3.666667
129,2,3,3,4,3,3,3,4,4,3,3.333333,3.666667
130,2,4,3,3,3,4,3,1,2,3.5,3.333333,2
131,2,4,4,2,2,2,3,2,2,4,2,2.333333
132,2,3,3,2,2,3,3,2,3,3,2.333333,2.666667
133,2,4,4,4,4,4,4,4,4,4,4,4
134,2,3,3,2,2,3,3,2,3,3,2.333333,2.666667
135,2,4,4,4,4,4,4,4,4,4,4,4
136,2,3,3,3,2,2,3,3,3,3,2.333333,3
137,2,3,3,3,3,3,3,3,3,3,3,3
138,2,3,4,2,2,3,2,2,2,3.5,2.333333,2
139,2,4,3,2,3,2,2,2,2,3.5,2.333333,2
140,2,3,2,2,2,3,3,2,2,2.5,2.333333,2.333333
141,2,3,2,4,2,3,4,3,3,2.5,3,3.333333
142,2,3,3,2,2,3,3,1,2,3,2.333333,2
143,2,3,2,4,4,3,4,4,4,2.5,3.666667,4
144,2,3,3,4,3,4,4,3,4,3,3.666667,3.666667
145,2,3,1,3,2,3,3,1,3,2,2.666667,2.333333
146,2,4,4,3,2,3,3,3,2,4,2.666667,2.666667
147,2,3,3,3,3,3,3,3,3,3,3,3
148,2,3,3,3,3,3,4,3,4,3,3,3.666667
149,1,3,3,3,3,3,4,4,3,3,3,3.666667
150,2,3,3,2,2,3,2,3,2,3,2.333333,2.333333
151,2,3,4,4,3,4,4,4,4,3.5,3.666667,4
152,2,3,2,2,2,3,2,2,3,2.5,2.333333,2.333333
153,1,4,4,2,3,4,4,4,4,4,3,4
154,1,3,1,4,4,3,4,4,4,2,3.666667,4
155,1,3,3,3,2,4,2,1,2,3,3,1.666667
156,2,3,3,3,3,3,3,2,3,3,3,2.666667
157,2,3,3,3,2,3,3,2,3,3,2.666667,2.666667
158,1,3,2,3,3,3,4,4,4,2.5,3,4
159,2,3,2,1,3,3,2,2,2,2.5,2.333333,2
160,2,3,2,1,2,2,1,2,1,2.5,1.666667,1.333333
161,2,4,3,4,2,3,4,2,3,3.5,3,3
162,2,3,3,2,2,3,3,2,3,3,2.333333,2.666667
163,2,4,4,3,3,3,3,3,4,4,3,3.333333
164,1,3,4,4,3,4,4,4,4,3.5,3.666667,4
165,1,4,4,4,4,4,4,1,4,4,4,3
166,1,3,2,2,2,2,3,3,3,2.5,2,3
167,1,3,3,3,2,3,3,2,3,3,2.666667,2.666667
168,2,4,4,3,3,4,4,3,4,4,3.333333,3.666667
169,2,4,4,2,2,2,2,2,2,4,2,2
170,1,3,2,4,2,4,4,3,4,2.5,3.333333,3.666667
171,2,3,2,4,4,3,2,2,3,2.5,3.666667,2.333333
172,2,3,3,3,3,3,3,2,3,3,3,2.666667
173,1,3,3,3,3,4,4,4,4,3,3.333333,4
174,1,4,3,2,3,3,3,2,3,3.5,2.666667,2.666667
175,1,3,3,2,2,3,3,2,2,3,2.333333,2.333333
176,2,4,4,3,3,3,2,2,3,4,3,2.333333
177,1,4,4,3,3,3,4,4,4,4,3,4
178,1,3,3,4,3,3,3,3,3,3,3.333333,3
179,1,3,3,3,2,3,3,2,3,3,2.666667,2.666667
180,1,3,4,4,3,3,4,4,4,3.5,3.333333,4
181,2,4,4,3,2,4,3,4,4,4,3,3.666667
182,2,4,4,4,3,4,4,4,4,4,3.666667,4
183,2,2,2,3,3,3,3,2,3,2,3,2.666667
184,2,3,3,1,2,2,2,2,1,3,1.666667,1.666667
185,2,4,4,2,3,3,3,1,3,4,2.666667,2.333333
186,1,4,3,4,4,4,4,3,4,3.5,4,3.666667
187,1,3,3,2,2,3,3,1,3,3,2.333333,2.333333
188,1,3,3,2,3,3,3,4,4,3,2.666667,3.666667
189,2,3,3,2,3,3,3,2,3,3,2.666667,2.666667
190,1,3,3,3,3,3,3,3,3,3,3,3
191,2,4,4,4,3,4,4,4,4,4,3.666667,4
192,2,4,4,4,4,4,4,3,4,4,4,3.666667
193,1,3,3,3,3,4,4,3,4,3,3.333333,3.666667
194,1,3,2,3,3,3,3,3,4,2.5,3,3.333333
195,1,3,3,3,3,3,3,1,3,3,3,2.333333
196,2,4,4,4,4,4,4,3,4,4,4,3.666667
197,1,3,3,4,3,4,4,4,4,3,3.666667,4
198,2,3,3,2,2,2,3,2,2,3,2,2.333333
199,2,4,3,4,4,4,4,4,3,3.5,4,3.666667
200,1,4,4,4,4,4,4,4,4,4,4,4
201,1,3,3,3,3,3,3,3,3,3,3,3
202,1,4,4,4,3,4,3,2,4,4,3.666667,3
203,1,3,3,3,3,3,4,4,4,3,3,4
204,1,3,3,3,3,3,3,3,3,3,3,3
205,1,3,3,4,4,4,4,4,4,3,4,4
206,2,3,3,2,2,1,2,2,3,3,1.666667,2.333333
207,2,3,3,3,2,3,2,2,3,3,2.666667,2.333333
208,1,3,3,3,3,3,3,3,3,3,3,3
209,2,3,3,3,2,2,2,2,2,3,2.333333,2
210,1,3,4,4,3,3,3,3,3,3.5,3.333333,3
211,2,3,2,3,3,3,3,2,3,2.5,3,2.666667
212,1,3,3,3,2,3,3,3,3,3,2.666667,3
213,2,3,3,3,2,2,2,1,3,3,2.333333,2
214,2,3,1,2,1,2,2,1,2,2,1.666667,1.666667
215,2,3,3,3,2,3,3,3,3,3,2.666667,3
216,1,2,2,2,2,2,3,1,3,2,2,2.333333
217,1,3,3,4,3,4,4,4,4,3,3.666667,4
218,1,3,3,2,2,3,3,3,3,3,2.333333,3
219,2,3,3,3,3,3,3,2,3,3,3,2.666667
220,1,3,2,4,3,2,3,3,3,2.5,3,3
221,2,4,4,4,4,4,4,3,4,4,4,3.666667
222,2,3,3,3,2,2,2,2,1,3,2.333333,1.666667
223,2,3,2,1,2,1,2,1,2,2.5,1.333333,1.666667
224,1,3,2,4,2,3,3,1,3,2.5,3,2.333333
225,1,4,2,4,3,4,4,3,4,3,3.666667,3.666667
226,1,4,4,3,2,2,3,2,3,4,2.333333,2.666667
227,1,3,3,3,3,3,3,2,3,3,3,2.666667
228,1,3,3,3,4,4,3,2,3,3,3.666667,2.666667
229,1,3,3,3,3,2,4,3,4,3,2.666667,3.666667
230,1,3,2,3,2,3,2,2,2,2.5,2.666667,2
231,1,3,3,4,3,3,4,4,4,3,3.333333,4
232,1,3,3,4,3,3,4,2,4,3,3.333333,3.333333
233,1,4,4,3,3,3,3,3,3,4,3,3
234,1,4,3,4,3,3,4,3,4,3.5,3.333333,3.666667
235,1,3,3,2,3,3,2,1,3,3,2.666667,2
236,1,3,3,2,2,2,3,2,2,3,2,2.333333
237,1,3,3,3,3,4,3,2,3,3,3.333333,2.666667
238,1,3,3,3,3,3,3,3,3,3,3,3
239,1,3,2,3,3,3,3,4,3,2.5,3,3.333333
240,1,3,3,3,3,3,3,3,3,3,3,3
241,1,2,2,2,2,2,2,3,2,2,2,2.333333
242,1,3,2,2,2,3,3,2,2,2.5,2.333333,2.333333
243,1,3,3,2,2,3,3,1,3,3,2.333333,2.333333
244,1,3,3,3,3,3,3,3,3,3,3,3
245,1,3,1,3,3,3,3,3,3,2,3,3
246,1,3,3,2,2,3,3,1,3,3,2.333333,2.333333
247,1,4,2,4,4,4,4,2,4,3,4,3.333333
248,1,3,3,2,3,3,3,2,3,3,2.666667,2.666667
249,1,2,2,4,3,3,4,4,4,2,3.333333,4
250,1,3,3,3,2,2,3,3,3,3,2.333333,3
251,1,2,2,3,2,3,3,3,3,2,2.666667,3
252,2,3,4,1,2,2,1,2,1,3.5,1.666667,1.333333
253,1,4,3,4,3,4,4,2,4,3.5,3.666667,3.333333
254,1,3,2,4,3,3,3,2,2,2.5,3.333333,2.333333
255,1,3,3,4,4,3,3,2,3,3,3.666667,2.666667
256,1,3,2,2,3,2,3,4,3,2.5,2.333333,3.333333
257,2,3,3,3,3,3,3,2,3,3,3,2.666667
258,2,3,4,3,2,3,3,3,3,3.5,2.666667,3
259,1,4,3,3,2,3,2,2,2,3.5,2.666667,2
260,1,3,2,3,3,2,4,2,4,2.5,2.666667,3.333333
261,2,4,4,3,2,3,4,2,3,4,2.666667,3
262,2,2,1,3,2,2,2,2,3,1.5,2.333333,2.333333
263,2,3,3,4,3,4,4,4,4,3,3.666667,4
264,1,3,3,3,3,3,3,3,3,3,3,3
265,2,4,4,4,4,4,4,4,4,4,4,4
266,2,4,4,4,3,4,4,2,4,4,3.666667,3.333333
267,2,3,3,3,2,3,2,3,2,3,2.666667,2.333333
268,2,3,3,3,2,3,3,2,3,3,2.666667,2.666667
269,2,3,4,4,3,4,3,4,3,3.5,3.666667,3.333333
270,2,3,3,4,2,4,3,3,3,3,3.333333,3
271,2,2,2,2,2,2,1,1,1,2,2,1
272,2,4,4,3,3,3,4,2,3,4,3,3
273,2,4,3,3,3,3,3,3,3,3.5,3,3
274,2,3,2,2,2,2,2,3,3,2.5,2,2.666667
275,2,2,2,3,3,3,3,2,2,2,3,2.333333
276,2,3,3,4,2,2,3,3,3,3,2.666667,3
277,2,2,2,2,2,3,3,3,3,2,2.333333,3
278,2,4,4,4,3,3,4,3,4,4,3.333333,3.666667
279,2,3,3,2,2,2,4,2,3,3,2,3
280,2,4,4,4,3,3,3,4,3,4,3.333333,3.333333
281,2,3,3,3,3,4,3,3,3,3,3.333333,3
282,2,3,2,2,3,3,3,2,3,2.5,2.666667,2.666667
283,2,3,3,1,2,3,2,2,2,3,2,2
284,2,3,3,4,3,2,3,2,3,3,3,2.666667
285,2,3,3,3,3,4,4,3,4,3,3.333333,3.666667
286,2,2,3,2,2,3,3,2,3,2.5,2.333333,2.666667
287,2,3,3,3,3,3,3,2,2,3,3,2.333333
288,2,4,4,4,3,4,3,3,3,4,3.666667,3
289,2,3,4,3,2,3,2,2,2,3.5,2.666667,2
290,2,3,4,3,2,3,4,3,3,3.5,2.666667,3.333333
291,2,3,1,3,3,3,3,2,3,2,3,2.666667
292,2,3,3,3,3,2,2,2,3,3,2.666667,2.333333
293,2,4,4,4,4,4,4,4,4,4,4,4
294,1,4,3,4,3,4,4,4,4,3.5,3.666667,4
295,2,3,3,3,3,2,3,2,3,3,2.666667,2.666667
296,1,3,3,3,3,3,3,2,3,3,3,2.666667
297,2,3,4,3,3,4,4,3,4,3.5,3.333333,3.666667
298,2,3,3,3,2,3,3,2,3,3,2.666667,2.666667
299,2,3,3,4,2,3,3,3,3,3,3,3
300,1,3,3,3,3,4,3,4,3,3,3.333333,3.333333
301,1,3,3,3,3,3,3,2,3,3,3,2.666667
302,1,3,3,3,3,3,3,3,4,3,3,3.333333
303,1,4,4,3,2,3,3,3,3,4,2.666667,3
304,2,3,3,2,1,1,2,1,1,3,1.333333,1.333333
305,1,3,3,3,2,3,3,3,3,3,2.666667,3
306,2,2,3,4,3,3,2,3,3,2.5,3.333333,2.666667
307,1,3,3,3,2,3,3,2,3,3,2.666667,2.666667
308,2,4,4,2,3,3,4,3,4,4,2.666667,3.666667
309,2,3,4,2,2,2,3,1,2,3.5,2,2
310,1,3,3,3,3,3,3,1,3,3,3,2.333333
311,1,3,3,3,3,3,2,1,1,3,3,1.333333
312,2,3,3,4,2,2,3,1,3,3,2.666667,2.333333
313,1,3,2,2,2,3,3,3,3,2.5,2.333333,3
314,2,4,4,4,3,3,4,2,4,4,3.333333,3.333333
315,1,3,2,3,3,3,3,2,3,2.5,3,2.666667
316,2,4,4,3,3,2,3,4,3,4,2.666667,3.333333
317,1,3,3,2,2,3,2,3,2,3,2.333333,2.333333
318,1,1,1,1,2,2,2,2,2,1,1.666667,2
319,1,3,3,3,3,3,3,3,3,3,3,3
320,2,3,2,3,3,3,3,3,3,2.5,3,3
321,2,4,4,3,2,3,4,2,3,4,2.666667,3
322,2,3,4,2,3,4,4,4,4,3.5,3,4
323,2,4,4,4,4,4,4,4,4,4,4,4
324,2,4,4,3,3,3,4,4,4,4,3,4
325,2,3,3,3,3,2,3,2,3,3,2.666667,2.666667
326,2,3,3,2,2,3,3,2,3,3,2.333333,2.666667
327,2,3,3,3,3,3,3,3,3,3,3,3
328,2,4,4,2,2,3,2,2,2,4,2.333333,2
329,2,2,2,2,2,3,3,3,2,2,2.333333,2.666667
330,2,3,3,4,3,2,3,3,3,3,3,3
331,2,3,3,2,3,4,4,3,3,3,3,3.333333
332,2,3,3,3,3,3,3,2,3,3,3,2.666667
333,1,3,3,3,3,3,3,3,3,3,3,3
334,1,3,3,2,2,2,3,2,3,3,2,2.666667
335,1,4,4,4,4,4,4,4,4,4,4,4
336,1,3,3,3,2,3,3,3,3,3,2.666667,3
337,1,3,3,3,3,3,3,3,3,3,3,3
338,1,3,4,4,3,4,3,3,3,3.5,3.666667,3
339,1,3,3,2,3,3,2,3,3,3,2.666667,2.666667
340,1,4,4,4,4,4,4,4,4,4,4,4
341,1,3,2,4,2,3,4,3,4,2.5,3,3.666667
342,1,3,3,3,3,3,3,3,3,3,3,3
343,1,3,3,3,3,3,3,3,4,3,3,3.333333
344,1,4,2,4,3,4,4,3,4,3,3.666667,3.666667
345,1,3,3,4,3,3,4,3,3,3,3.333333,3.333333
346,1,3,3,3,3,3,3,3,3,3,3,3
347,2,3,3,3,3,4,4,3,4,3,3.333333,3.666667
348,2,4,4,4,3,3,3,1,3,4,3.333333,2.333333
349,2,3,3,2,2,2,2,1,2,3,2,1.666667
350,2,2,1,3,3,3,3,2,3,1.5,3,2.666667
351,2,2,2,3,2,2,2,1,2,2,2.333333,1.666667
352,2,3,3,3,3,4,3,2,3,3,3.333333,2.666667
353,2,3,4,3,2,2,3,2,3,3.5,2.333333,2.666667
354,2,3,3,2,2,3,3,2,2,3,2.333333,2.333333
355,2,4,4,4,2,3,4,3,4,4,3,3.666667
356,2,4,4,4,4,4,4,4,4,4,4,4
357,2,3,3,4,4,4,4,3,4,3,4,3.666667
358,2,3,3,3,3,3,3,3,4,3,3,3.333333
359,2,3,3,3,3,3,3,2,3,3,3,2.666667
360,2,3,3,3,3,3,3,4,3,3,3,3.333333
361,2,3,3,3,3,3,3,2,3,3,3,2.666667
362,2,3,4,4,3,3,3,3,3,3.5,3.333333,3
363,2,4,4,4,3,4,4,3,4,4,3.666667,3.666667
364,2,4,4,3,3,4,4,3,4,4,3.333333,3.666667
365,2,4,2,3,3,4,4,3,4,3,3.333333,3.666667
366,2,3,3,3,2,3,3,2,4,3,2.666667,3
367,2,4,4,4,3,4,4,4,4,4,3.666667,4
368,2,3,3,3,3,2,2,2,2,3,2.666667,2
369,2,4,4,4,3,4,4,3,4,4,3.666667,3.666667
370,2,4,4,3,3,3,3,3,3,4,3,3
371,2,3,3,3,2,3,3,2,3,3,2.666667,2.666667
372,2,4,4,3,3,3,2,2,2,4,3,2
373,2,3,3,3,3,3,3,3,3,3,3,3
374,2,4,4,3,3,4,4,2,4,4,3.333333,3.333333
375,2,3,3,2,2,2,3,2,2,3,2,2.333333
376,2,4,4,4,3,4,4,4,4,4,3.666667,4
377,2,3,3,3,3,4,3,2,3,3,3.333333,2.666667
378,2,3,3,2,2,3,3,2,3,3,2.333333,2.666667
379,2,3,3,2,2,2,3,1,3,3,2,2.333333
380,2,3,3,3,2,3,3,3,3,3,2.666667,3
381,1,2,3,2,1,2,3,3,3,2.5,1.666667,3
382,1,4,3,4,4,4,4,3,4,3.5,4,3.666667
383,1,2,2,3,2,3,2,2,2,2,2.666667,2
384,1,3,3,4,2,4,3,3,3,3,3.333333,3
385,1,3,2,4,4,4,4,4,4,2.5,4,4
386,1,4,3,3,3,3,4,2,4,3.5,3,3.333333
387,1,3,3,3,2,3,4,3,3,3,2.666667,3.333333
388,1,4,4,3,3,3,3,3,3,4,3,3
389,1,3,2,2,2,2,2,2,2,2.5,2,2
390,1,3,3,3,3,3,3,3,3,3,3,3
391,1,3,3,2,2,2,2,2,2,3,2,2
392,1,3,3,4,2,4,4,2,4,3,3.333333,3.333333
393,1,3,3,1,1,3,3,2,3,3,1.666667,2.666667
394,1,4,4,3,3,3,4,2,4,4,3,3.333333
395,1,3,3,3,3,3,3,3,3,3,3,3
396,1,3,3,4,3,3,4,4,4,3,3.333333,4
397,1,3,3,3,3,3,3,2,3,3,3,2.666667
398,1,3,3,4,3,4,4,4,4,3,3.666667,4
399,1,3,3,4,3,3,4,4,4,3,3.333333,4
400,1,3,3,3,3,2,3,2,3,3,2.666667,2.666667
401,1,3,2,4,3,3,4,2,4,2.5,3.333333,3.333333
402,1,3,3,2,2,2,3,2,3,3,2,2.666667
403,1,2,1,1,1,2,2,2,1,1.5,1.333333,1.666667
404,1,3,3,3,3,3,4,2,3,3,3,3
405,1,3,3,3,3,3,3,4,4,3,3,3.666667
406,1,3,2,3,3,3,2,2,2,2.5,3,2
407,1,3,3,4,3,3,4,4,4,3,3.333333,4
